,category,subcategory,type,clothes_type,parameters,paramValueUnion,paramCombinations,transcriptTypeParams
0,top,hoodies&sweatshirts,sweatshirt,sweatshirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['regular', 'oversize']}]","[['length-cropped', 'length-regular'], ['fit-regular', 'fit-oversize']]","['length-cropped', 'fit-regular']",length-cropped fit-regular sweatshirt
1,top,hoodies&sweatshirts,sweatshirt,sweatshirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['regular', 'oversize']}]","[['length-cropped', 'length-regular'], ['fit-regular', 'fit-oversize']]","['length-cropped', 'fit-oversize']",length-cropped fit-oversize sweatshirt
2,top,hoodies&sweatshirts,sweatshirt,sweatshirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['regular', 'oversize']}]","[['length-cropped', 'length-regular'], ['fit-regular', 'fit-oversize']]","['length-regular', 'fit-regular']",length-regular fit-regular sweatshirt
3,top,hoodies&sweatshirts,sweatshirt,sweatshirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['regular', 'oversize']}]","[['length-cropped', 'length-regular'], ['fit-regular', 'fit-oversize']]","['length-regular', 'fit-oversize']",length-regular fit-oversize sweatshirt
4,top,hoodies&sweatshirts,hoodie,hoodie,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['regular', 'oversize']}]","[['length-cropped', 'length-regular'], ['fit-regular', 'fit-oversize']]","['length-cropped', 'fit-regular']",length-cropped fit-regular hoodie
5,top,hoodies&sweatshirts,hoodie,hoodie,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['regular', 'oversize']}]","[['length-cropped', 'length-regular'], ['fit-regular', 'fit-oversize']]","['length-cropped', 'fit-oversize']",length-cropped fit-oversize hoodie
6,top,hoodies&sweatshirts,hoodie,hoodie,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['regular', 'oversize']}]","[['length-cropped', 'length-regular'], ['fit-regular', 'fit-oversize']]","['length-regular', 'fit-regular']",length-regular fit-regular hoodie
7,top,hoodies&sweatshirts,hoodie,hoodie,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['regular', 'oversize']}]","[['length-cropped', 'length-regular'], ['fit-regular', 'fit-oversize']]","['length-regular', 'fit-oversize']",length-regular fit-oversize hoodie
8,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-cropped', 'fit-slim', 'neckline-round_neck']",length-cropped fit-slim neckline-round_neck sweater
9,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-cropped', 'fit-slim', 'neckline-V-neck']",length-cropped fit-slim neckline-V-neck sweater
10,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-cropped', 'fit-slim', 'neckline-U-neck']",length-cropped fit-slim neckline-U-neck sweater
11,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-cropped', 'fit-slim', 'neckline-boat_neck']",length-cropped fit-slim neckline-boat_neck sweater
12,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-cropped', 'fit-slim', 'neckline-cowl_neck']",length-cropped fit-slim neckline-cowl_neck sweater
13,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-cropped', 'fit-slim', 'neckline-high_collar']",length-cropped fit-slim neckline-high_collar sweater
14,top,sweaters,sweater,sweater,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck', 'cowl_neck', 'high_collar']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck', 'neckline-cowl_neck', 'neckline-high_collar']]","['length-cropped', 'fit-regular', 'neckline-round_neck']",length-cropped fit-regular neckline-round_neck sweater
