,category,subcategory,type,clothesParameters,values,priorityProb
0,top,hoodies&sweatshirts,sweatshirt,fit,slim,1.0
0,top,hoodies&sweatshirts,sweatshirt,fit,regular,1.0
0,top,hoodies&sweatshirts,sweatshirt,fit,oversize,1.0
1,top,hoodies&sweatshirts,hoodie,fit,slim,1.0
1,top,hoodies&sweatshirts,hoodie,fit,regular,1.0
1,top,hoodies&sweatshirts,hoodie,fit,oversize,1.0
2,top,sweaters,turtleneck,,,1.0
3,top,sweaters,sweater,fit,slim,1.0
3,top,sweaters,sweater,fit,regular,1.0
3,top,sweaters,sweater,fit,oversize,1.0
4,top,sweaters,sweater,neckline,round_neck,1.0
4,top,sweaters,sweater,neckline,V-neck,1.0
4,top,sweaters,sweater,neckline,U-neck,1.0
4,top,sweaters,sweater,neckline,boat_neck,1.0
4,top,sweaters,sweater,neckline,cowl_neck,1.0
4,top,sweaters,sweater,neckline,high_collar_neck,1.0
5,top,sweaters,cardigan,fit,slim,1.0
5,top,sweaters,cardigan,fit,regular,1.0
5,top,sweaters,cardigan,fit,oversize,1.0
6,top,sweaters,cardigan,zipper_type,zipper,1.0
6,top,sweaters,cardigan,zipper_type,buttons,1.0
7,top,sweaters,vest,,,1.0
8,top,t-shirts,t-shirt,length,cropped,1.0
8,top,t-shirts,t-shirt,length,regular,1.0
8,top,t-shirts,t-shirt,length,extended,1.0
9,top,t-shirts,t-shirt,fit,slim,1.0
9,top,t-shirts,t-shirt,fit,regular,1.0
9,top,t-shirts,t-shirt,fit,oversize,1.0
10,top,t-shirts,t-shirt,neckline,round_neck,1.0
10,top,t-shirts,t-shirt,neckline,V-neck,1.0
10,top,t-shirts,t-shirt,neckline,U-neck,1.0
10,top,t-shirts,t-shirt,neckline,boat_neck,1.0
10,top,t-shirts,t-shirt,neckline,cowl_neck,1.0
10,top,t-shirts,t-shirt,neckline,high_collar_neck,1.0
11,top,t-shirts,long_sleeve_t-shirt,fit,slim,1.0
11,top,t-shirts,long_sleeve_t-shirt,fit,regular,1.0
11,top,t-shirts,long_sleeve_t-shirt,fit,oversize,1.0
12,top,t-shirts,polo,,,1.0
13,top,shirts,short_sleeve_shirt,fit,slim,1.0
13,top,shirts,short_sleeve_shirt,fit,regular,1.0
13,top,shirts,short_sleeve_shirt,fit,oversize,1.0
14,top,shirts,long_sleeve_shirt,fit,slim,1.0
14,top,shirts,long_sleeve_shirt,fit,regular,1.0
14,top,shirts,long_sleeve_shirt,fit,oversize,1.0
15,top,shirts,denim_shirt,fit,slim,1.0
15,top,shirts,denim_shirt,fit,regular,1.0
15,top,shirts,denim_shirt,fit,oversize,1.0
16,top,shirts,linen_shirt,fit,slim,1.0
16,top,shirts,linen_shirt,fit,regular,1.0
16,top,shirts,linen_shirt,fit,oversize,1.0
17,top,blazers,blazer,fit,slim,1.0
17,top,blazers,blazer,fit,regular,1.0
17,top,blazers,blazer,fit,oversize,1.0
18,bottom,trousers,joggers,fit,tapered,1.0
18,bottom,trousers,joggers,fit,straight,1.0
18,bottom,trousers,joggers,fit,wide,1.0
18,bottom,trousers,joggers,fit,flared,1.0
18,bottom,trousers,joggers,fit,baggy,1.0
18,bottom,trousers,joggers,fit,A-line,1.0
19,bottom,trousers,joggers,waist,regular,1.0
19,bottom,trousers,joggers,waist,high,1.0
20,bottom,trousers,joggers,length,cropped,1.0
20,bottom,trousers,joggers,length,regular,1.0
20,bottom,trousers,joggers,length,extended,1.0
20,bottom,trousers,joggers,length,midi,1.0
20,bottom,trousers,joggers,length,maxi,1.0
21,bottom,trousers,sweatpants,waist,regular,1.0
21,bottom,trousers,sweatpants,waist,high,1.0
22,bottom,trousers,sweatpants,fit,tapered,1.0
22,bottom,trousers,sweatpants,fit,straight,1.0
22,bottom,trousers,sweatpants,fit,wide,1.0
22,bottom,trousers,sweatpants,fit,flared,1.0
22,bottom,trousers,sweatpants,fit,baggy,1.0
22,bottom,trousers,sweatpants,fit,A-line,1.0
